TIPO_AGENTE,IDIOMA.DEL.ESTANDARIZADO.COMPLETO,GRUPO_EDITORIAL_COMPLETO,SUBCATEGORIA.DEWEY,ANO,PAIS,CANTIDAD_REGISTROS
EDITORIAL COMERCIAL,ALEMÁN,CEIBO EDICIONES LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2014,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,CEIBO EDICIONES LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2021,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,CENTRO DE ESTUDOS VIDA E CONSCIENCIA E EDITORA LTDA,SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,CENTRO EDITORIAL LA CASTALIA - EDICIONES PUERTA DEL SOL,890 - LITERATURAS DE OTRAS LENGUAS,2014,VENEZUELA,1.0
EDITORIAL COMERCIAL,ALEMÁN,CEREJA EDITORA LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2014,BRASIL,3.0
EDITORIAL COMERCIAL,ALEMÁN,CEREJA EDITORA LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2015,BRASIL,6.0
EDITORIAL COMERCIAL,ALEMÁN,CHIBALETE EDITORES S.A.S.,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,CINAR EDITORES,800 - LITERATURA Y RETÓRICA: GENERAL,2015,MÉXICO,3.0
EDITORIAL COMERCIAL,ALEMÁN,CIRANDA CULTURAL,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2019,BRASIL,2.0
EDITORIAL COMERCIAL,ALEMÁN,CIRCULO EDITORIAL S.A.C.,800 - LITERATURA Y RETÓRICA: GENERAL,2015,PERÚ,1.0
EDITORIAL COMERCIAL,ALEMÁN,CLANDESTINA EDITORA LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2018,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,CLEBER ZANOVELLO DARIVA 93963165049,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2018,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLECCION SUR,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2018,CUBA,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,800 - LITERATURA Y RETÓRICA: GENERAL,2012,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,800 - LITERATURA Y RETÓRICA: GENERAL,2015,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,800 - LITERATURA Y RETÓRICA: GENERAL,2018,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,800 - LITERATURA Y RETÓRICA: GENERAL,2020,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,800 - LITERATURA Y RETÓRICA: GENERAL,2022,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2011,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2013,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2015,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2016,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2017,MÉXICO,4.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2018,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLOFON,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2019,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLUMBA EDICIONES LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2013,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLUMBA EDICIONES LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,2016,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,COLUMBA EDICIONES LTDA.,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2014,CHILE,1.0
