GRUPO_EDITORIAL_COMPLETO,TIPO_AGENTE,PAIS,ANO,SUBCATEGORIA.DEWEY,CANTIDAD_REGISTROS
ADALBERTO VENTURA LIMA -ME,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
ADALBERTO VENTURA LIMA -ME,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
ADAO ROSSIR BERNY DE OLIVEIRA,EDITORIAL COMERCIAL,BRASIL,2014,080 - COLECCIONES GENERALES,1.0
ADAO ROSSIR BERNY DE OLIVEIRA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
ADAO ROSSIR BERNY DE OLIVEIRA,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
ADLER EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,1.0
ADLER EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
ADP EDITORA E DISTRIBUIDORA DE ARTES E LIVROS LTDA -ME,EDITORIAL COMERCIAL,BRASIL,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
ADRIANA CRISTINA ANDRADE CHAVES,EDITORIAL COMERCIAL,BRASIL,2019,810 - LITERATURA AMERICANA EN INGLÉS,1.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2012,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2012,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,7.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2013,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2014,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2014,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2015,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2015,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,1.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2015,890 - LITERATURAS DE OTRAS LENGUAS,1.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,7.0
ADRIANA HIDALGO EDITORA,EDITORIAL COMERCIAL,ARGENTINA,2017,800 - LITERATURA Y RETÓRICA: GENERAL,3.0
ADRIANA HIDALGO EDITORA S.A.,EDITORIAL COMERCIAL,ARGENTINA,2019,800 - LITERATURA Y RETÓRICA: GENERAL,6.0
ADRIANA HIDALGO EDITORA S.A.,EDITORIAL COMERCIAL,ARGENTINA,2020,800 - LITERATURA Y RETÓRICA: GENERAL,4.0
ADRUS D&L EDITORES S.A.C.,EDITORIAL COMERCIAL,PERÚ,2017,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
AEROLINEAS EDITORIALES S.A.C.,EDITORIAL COMERCIAL,PERÚ,2011,890 - LITERATURAS DE OTRAS LENGUAS,1.0
AEROLINEAS EDITORIALES S.A.C.,EDITORIAL COMERCIAL,PERÚ,2014,890 - LITERATURAS DE OTRAS LENGUAS,1.0
AEROLINEAS EDITORIALES S.A.C.,EDITORIAL COMERCIAL,PERÚ,2015,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
AEROLINEAS EDITORIALES S.A.C.,EDITORIAL COMERCIAL,PERÚ,2015,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
AEROPLANO EDITORA E CONSULTORIA LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,1.0
AEROPLANO EDITORA E CONSULTORIA LTDA,EDITORIAL COMERCIAL,BRASIL,2016,810 - LITERATURA AMERICANA EN INGLÉS,1.0
AFINITA EDITORIAL MEXICO,EDITORIAL COMERCIAL,MÉXICO,2014,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
AGALMA PSICANALISE EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2010,SIN DATO,1.0
